date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2006-01-20,24.85,25.4,23.47,23.47,3.35285379,1949300,0.0,1.0
2006-01-19,24.84,25.73,24.76,25.42,3.63142494,1198600,0.0,1.0
2006-01-18,25.51,25.61,24.72,24.85,3.54999645,820700,0.0,1.0
2006-01-17,25.31,25.9,24.92,25.76,3.67999632,1056600,0.0,1.0
2006-01-13,25.625,25.88,25.44,25.56,3.65142492,857800,0.0,1.0
2006-01-12,24.78,25.83,24.6,25.72,3.67428204,1632700,0.0,1.0
2006-01-11,25.35,25.85,24.75,24.85,3.54999645,1249700,0.0,1.0
2006-01-10,24.895,25.45,24.82,25.43,3.63285351,1127700,0.0,1.0
2006-01-09,25.005,25.25,24.5,25.0,3.571425,1154500,0.0,1.0
2006-01-06,24.915,25.54,24.83,25.03,3.57571071,1219900,0.0,1.0
2006-01-05,24.87,25.05,24.75,24.93,3.56142501,1160500,0.0,1.0
2006-01-04,25.5,25.76,24.62,25.0,3.571425,2278600,0.0,1.0
2006-01-03,27.055,27.12,25.12,26.05,3.72142485,2237100,0.0,1.0
2005-12-30,27.07,27.3,26.95,27.06,3.86571042,490800,0.0,1.0
2005-12-29,27.18,27.36,26.94,27.25,3.89285325,517400,0.0,1.0
2005-12-28,27.03,27.58,27.02,27.2,3.8857104,596300,0.0,1.0
2005-12-27,27.79,27.8,26.63,26.98,3.85428186,949500,0.0,1.0
2005-12-23,27.55,27.77,27.41,27.73,3.96142461,468200,0.0,1.0
2005-12-22,27.62,27.75,27.13,27.6,3.9428532,997600,0.0,1.0
2005-12-21,26.435,27.56,26.18,27.39,3.91285323,3267600,0.0,1.0
2005-12-20,25.6,25.77,24.97,25.11,3.58713927,819400,0.0,1.0
2005-12-19,26.37,26.37,25.5,25.62,3.65999634,1457900,0.0,1.0
2005-12-16,26.145,27.04,26.02,26.3,3.7571391,2797000,0.0,1.0
2005-12-15,25.0,25.97,24.32,25.94,3.70571058,3123200,0.0,1.0
2005-12-14,24.18,24.6,22.54,24.43,3.48999651,3857500,0.0,1.0
2005-12-13,24.45,24.99,23.91,24.05,3.43571085,1878100,0.0,1.0
2005-12-12,25.75,25.84,24.09,25.1,3.5857107,3168000,0.0,1.0
2005-12-09,27.28,27.55,25.58,25.74,3.67713918,1851000,0.0,1.0
2005-12-08,27.24,27.55,27.23,27.5,3.9285675,437400,0.0,1.0
2005-12-07,27.73,28.05,27.2,27.38,3.91142466,552700,0.0,1.0
2005-12-06,27.7,28.07,27.613,27.75,3.96428175,580400,0.0,1.0
2005-12-05,27.5,27.93,27.35,27.7,3.9571389,590100,0.0,1.0
2005-12-02,27.02,27.78,27.0,27.69,3.95571033,800200,0.0,1.0
2005-12-01,27.745,27.84,27.05,27.11,3.87285327,653800,0.0,1.0
2005-11-30,27.03,27.9,26.94,27.54,3.93428178,868500,0.0,1.0
2005-11-29,27.52,28.0,26.71,27.0,3.857139,919600,0.0,1.0
2005-11-28,28.5,28.6,27.5,27.58,3.93999606,1510400,0.0,1.0
2005-11-25,29.02,29.29,28.89,29.25,4.17856725,213400,0.0,1.0
2005-11-23,29.02,29.56,28.9701,29.02,4.14571014,889700,0.0,1.0
2005-11-22,28.46,29.49,28.45,29.2,4.1714244,704900,0.0,1.0
2005-11-21,28.28,28.9605,27.8,28.71,4.10142447,868100,0.0,1.0
2005-11-18,28.99,29.25,27.7,28.42,4.05999594,1238400,0.0,1.0
2005-11-17,27.85,28.85,27.79,28.75,4.10713875,978600,0.0,1.0
2005-11-16,28.03,28.34,27.23,27.74,3.96285318,1185700,0.0,1.0
2005-11-15,28.95,29.0,27.86,27.95,3.99285315,1245700,0.0,1.0
2005-11-14,30.1,30.1,28.81,29.02,4.14571014,882500,0.0,1.0
2005-11-11,29.48,30.08,28.98,30.07,4.29570999,1252200,0.0,1.0
2005-11-10,29.5,30.25,29.34,29.55,4.22142435,3581400,0.0,1.0
2005-11-09,28.6,28.7,27.83,28.15,4.02142455,1088200,0.0,1.0
2005-11-08,28.0,29.3,27.95,28.56,4.07999592,2255800,0.0,1.0
2005-11-07,27.69,27.93,27.47,27.81,3.97285317,694400,0.0,1.0
2005-11-04,27.1,27.75,26.92,27.59,3.94142463,1003400,0.0,1.0
2005-11-03,27.39,28.16,26.33,27.08,3.86856756,4203600,0.0,1.0
2005-11-02,25.43,27.33,25.43,27.12,3.87428184,1812300,0.0,1.0
2005-11-01,26.04,26.5,25.61,25.68,3.66856776,1030500,0.0,1.0
2005-10-31,25.75,26.63,25.6,26.41,3.77285337,1386500,0.0,1.0
2005-10-28,26.13,26.51,25.41,26.28,3.75428196,1581000,0.0,1.0
2005-10-27,25.72,26.2,24.73,25.9,3.6999963,2827200,0.0,1.0
2005-10-26,27.2,27.4,23.81,24.98,3.56856786,3486500,0.0,1.0
2005-10-25,26.895,27.62,26.78,27.41,3.91571037,1022000,0.0,1.0
2005-10-24,26.48,27.25,26.25,26.97,3.85285329,1941200,0.0,1.0
2005-10-21,25.91,26.56,25.9,26.15,3.73571055,1827000,0.0,1.0
2005-10-20,27.25,27.7,25.58,25.63,3.66142491,3288300,0.0,1.0
2005-10-19,27.11,28.5,26.66,28.35,4.04999595,1781100,0.0,1.0
2005-10-18,29.2,29.49,27.37,27.45,3.92142465,1539000,0.0,1.0
2005-10-17,28.8,29.2,28.25,29.1,4.1571387,842000,0.0,1.0
2005-10-14,28.4,28.78,27.4,28.76,4.10856732,889700,0.0,1.0
2005-10-13,27.54,28.0,26.84,27.9,3.9857103,1088900,0.0,1.0
2005-10-12,28.17,28.75,27.02,27.51,3.92999607,1148500,0.0,1.0
2005-10-11,29.0,29.25,27.76,28.21,4.02999597,1884400,0.0,1.0
2005-10-10,27.4,28.99,27.32,28.69,4.09856733,2452600,0.0,1.0
2005-10-07,26.11,27.8,25.94,27.25,3.89285325,1970300,0.0,1.0
